,compound_id,target_id,standard_type,standard_relation,standard_value,standard_units
1605933,CHEMBL259084,P43403,KD,>,10000.0,NM
1605935,CHEMBL259084,P42685,KD,>,10000.0,NM
1605937,CHEMBL259084,P42685,KD,>,10000.0,NM
1605938,CHEMBL259084,P42684,KD,=,3300.0,NM
1605940,CHEMBL259084,P42684,KD,=,3300.0,NM
1605942,CHEMBL259084,P42681,KD,>,10000.0,NM
1605943,CHEMBL259084,P42681,KD,>,10000.0,NM
1605944,CHEMBL259084,P42680,KD,=,730.0,NM
1605945,CHEMBL259084,P42680,KD,=,730.0,NM
1605947,CHEMBL259084,P42679,KD,>,10000.0,NM
1605948,CHEMBL259084,P42345,KD,>,10000.0,NM
1605949,CHEMBL259084,P42338,KD,>,10000.0,NM
1605951,CHEMBL259084,P42336,KD,>,10000.0,NM
1605952,CHEMBL259084,P42336,KD,>,10000.0,NM
1605953,CHEMBL259084,P42336,KD,>,10000.0,NM
1605954,CHEMBL259084,P42336,KD,>,10000.0,NM
1605955,CHEMBL259084,P42336,KD,>,10000.0,NM
1605956,CHEMBL259084,P42336,KD,>,10000.0,NM
1605957,CHEMBL259084,P42336,KD,>,10000.0,NM
1605958,CHEMBL259084,P42336,KD,>,10000.0,NM
1605959,CHEMBL259084,P42336,KD,>,10000.0,NM
1605960,CHEMBL259084,P42336,KD,>,10000.0,NM
1605961,CHEMBL259084,P42336,KD,>,10000.0,NM
1605962,CHEMBL259084,P42336,KD,>,10000.0,NM
1605963,CHEMBL259084,P41743,KD,>,10000.0,NM
1605965,CHEMBL259084,P41240,KD,=,9000.0,NM
1605967,CHEMBL259084,P41240,KD,=,9000.0,NM
1605968,CHEMBL259084,P37173,KD,>,10000.0,NM
1605969,CHEMBL259084,P37173,KD,>,10000.0,NM
1605970,CHEMBL259084,P37023,KD,>,10000.0,NM
1605971,CHEMBL259084,P37023,KD,>,10000.0,NM
1605972,CHEMBL259084,P36897,KD,>,10000.0,NM
1605973,CHEMBL259084,P36897,KD,>,10000.0,NM
1605974,CHEMBL259084,P36896,KD,>,10000.0,NM
1605976,CHEMBL259084,P36896,KD,>,10000.0,NM
1605977,CHEMBL259084,P36894,KD,>,10000.0,NM
1605978,CHEMBL259084,P36894,KD,>,10000.0,NM
1605979,CHEMBL259084,P36888,KD,=,9500.0,NM
1605982,CHEMBL259084,P36888,KD,>,10000.0,NM
1605983,CHEMBL259084,P36888,KD,>,10000.0,NM
1605984,CHEMBL259084,P36888,KD,>,10000.0,NM
1605985,CHEMBL259084,P36888,KD,>,10000.0,NM
1605986,CHEMBL259084,P36888,KD,>,10000.0,NM
1605987,CHEMBL259084,P36888,KD,>,10000.0,NM
1605988,CHEMBL259084,P36888,KD,>,10000.0,NM
1605989,CHEMBL259084,P36888,KD,>,10000.0,NM
1605990,CHEMBL259084,P36888,KD,>,10000.0,NM
1605991,CHEMBL259084,P36888,KD,>,10000.0,NM
1605992,CHEMBL259084,P36888,KD,>,10000.0,NM
1605994,CHEMBL259084,P36507,KD,>,10000.0,NM
1605996,CHEMBL259084,P36507,KD,>,10000.0,NM
1605998,CHEMBL259084,P35968,KD,>,10000.0,NM
1606001,CHEMBL259084,P35968,KD,>,10000.0,NM
1606003,CHEMBL259084,P35916,KD,=,3100.0,NM
1606006,CHEMBL259084,P35916,KD,=,3100.0,NM
1606008,CHEMBL259084,P35590,KD,=,1600.0,NM
1606009,CHEMBL259084,P35590,KD,=,1600.0,NM
1606013,CHEMBL259084,P33981,KD,>,10000.0,NM
1606014,CHEMBL259084,P33981,KD,>,10000.0,NM
1606015,CHEMBL259084,P32298,KD,>,10000.0,NM
1606016,CHEMBL259084,P31751,KD,>,10000.0,NM
1606019,CHEMBL259084,P31751,KD,>,10000.0,NM
1606021,CHEMBL259084,P31749,KD,>,10000.0,NM
1606024,CHEMBL259084,P31749,KD,>,10000.0,NM
1606026,CHEMBL259084,P31152,KD,>,10000.0,NM
1606027,CHEMBL259084,P31152,KD,>,10000.0,NM
1606028,CHEMBL259084,P30530,KD,=,440.0,NM
1606031,CHEMBL259084,P30530,KD,=,440.0,NM
1606032,CHEMBL259084,P30291,KD,>,10000.0,NM
1606033,CHEMBL259084,P30291,KD,>,10000.0,NM
1606035,CHEMBL259084,P29597,KD,>,10000.0,NM
1606036,CHEMBL259084,P29597,KD,>,10000.0,NM
1606037,CHEMBL259084,P29597,KD,>,10000.0,NM
1606039,CHEMBL259084,P29376,KD,>,10000.0,NM
1606041,CHEMBL259084,P29376,KD,>,10000.0,NM
1606043,CHEMBL259084,P29323,KD,>,10000.0,NM
1606045,CHEMBL259084,P29323,KD,>,10000.0,NM
1606046,CHEMBL259084,P29322,KD,>,10000.0,NM
1606048,CHEMBL259084,P29322,KD,>,10000.0,NM
1606049,CHEMBL259084,P29320,KD,=,2100.0,NM
1606051,CHEMBL259084,P29320,KD,=,2100.0,NM
1606052,CHEMBL259084,P29317,KD,=,370.0,NM
1606056,CHEMBL259084,P29317,KD,=,370.0,NM
1606059,CHEMBL259084,P28482,KD,>,10000.0,NM
1606062,CHEMBL259084,P28482,KD,>,10000.0,NM
1606064,CHEMBL259084,P27448,KD,>,10000.0,NM
1606066,CHEMBL259084,P27448,KD,>,10000.0,NM
1606068,CHEMBL259084,P27361,KD,>,10000.0,NM
1606069,CHEMBL259084,P27361,KD,>,10000.0,NM
1606070,CHEMBL259084,P27037,KD,>,10000.0,NM
1606071,CHEMBL259084,P27037,KD,>,10000.0,NM
1606074,CHEMBL259084,P24941,KD,>,10000.0,NM
1606076,CHEMBL259084,P24941,KD,>,10000.0,NM
1606080,CHEMBL259084,P24723,KD,>,10000.0,NM
1606082,CHEMBL259084,P24723,KD,>,10000.0,NM
1606083,CHEMBL259084,P23458,KD,>,10000.0,NM
1606084,CHEMBL259084,P23458,KD,>,10000.0,NM
1606085,CHEMBL259084,P23458,KD,>,10000.0,NM
1606086,CHEMBL259084,P23443,KD,>,10000.0,NM
1606089,CHEMBL259084,P22694,KD,>,10000.0,NM
1606090,CHEMBL259084,P22694,KD,>,10000.0,NM
1606091,CHEMBL259084,P22607,KD,=,1300.0,NM
1606092,CHEMBL259084,P22607,KD,=,1200.0,NM
1606095,CHEMBL259084,P22607,KD,=,1200.0,NM
1606096,CHEMBL259084,P22607,KD,=,1300.0,NM
1606098,CHEMBL259084,P22455,KD,>,10000.0,NM
1606100,CHEMBL259084,P22455,KD,>,10000.0,NM
1606101,CHEMBL259084,P21860,KD,>,10000.0,NM
1606102,CHEMBL259084,P21802,KD,=,1700.0,NM
1606104,CHEMBL259084,P21802,KD,=,1700.0,NM
1606105,CHEMBL259084,P21709,KD,=,1800.0,NM
1606108,CHEMBL259084,P21709,KD,=,1800.0,NM
1606109,CHEMBL259084,P21127,KD,>,10000.0,NM
1606110,CHEMBL259084,P21127,KD,>,10000.0,NM
1606111,CHEMBL259084,P20794,KD,>,10000.0,NM
1606112,CHEMBL259084,P19784,KD,>,10000.0,NM
1606114,CHEMBL259084,P19784,KD,>,10000.0,NM
1606116,CHEMBL259084,P19525,KD,>,10000.0,NM
1606117,CHEMBL259084,P19525,KD,>,10000.0,NM
1606118,CHEMBL259084,P17948,KD,=,1000.0,NM
1606121,CHEMBL259084,P17948,KD,=,1000.0,NM
1606123,CHEMBL259084,P17612,KD,>,10000.0,NM
1606124,CHEMBL259084,P17612,KD,>,10000.0,NM
1606128,CHEMBL259084,P16591,KD,=,4400.0,NM
1606130,CHEMBL259084,P16591,KD,=,4400.0,NM
1606132,CHEMBL259084,P16234,KD,>,10000.0,NM
1606135,CHEMBL259084,P16234,KD,>,10000.0,NM
1606138,CHEMBL259084,P15735,KD,>,10000.0,NM
1606140,CHEMBL259084,P15735,KD,>,10000.0,NM
1606141,CHEMBL259084,P15056,KD,>,10000.0,NM
1606142,CHEMBL259084,P15056,KD,>,10000.0,NM
1606143,CHEMBL259084,P15056,KD,>,10000.0,NM
1606144,CHEMBL259084,P15056,KD,>,10000.0,NM
1606146,CHEMBL259084,P14616,KD,>,10000.0,NM
1606147,CHEMBL259084,P14616,KD,>,10000.0,NM
1606148,CHEMBL259084,P12931,KD,=,800.0,NM
1606151,CHEMBL259084,P12931,KD,=,800.0,NM
1606153,CHEMBL259084,P11802,KD,>,10000.0,NM
1606154,CHEMBL259084,P11802,KD,>,10000.0,NM
1606155,CHEMBL259084,P11799,KD,>,10000.0,NM
1606156,CHEMBL259084,P11362,KD,=,2400.0,NM
1606159,CHEMBL259084,P11362,KD,=,2400.0,NM
1606161,CHEMBL259084,P11309,KD,>,10000.0,NM
1606164,CHEMBL259084,P11309,KD,>,10000.0,NM
1606169,CHEMBL259084,P10721,KD,>,10000.0,NM
1606170,CHEMBL259084,P10721,KD,>,10000.0,NM
1606171,CHEMBL259084,P10721,KD,>,10000.0,NM
1606172,CHEMBL259084,P10721,KD,>,10000.0,NM
1606173,CHEMBL259084,P10721,KD,>,10000.0,NM
1606174,CHEMBL259084,P10721,KD,>,10000.0,NM
1606175,CHEMBL259084,P10721,KD,>,10000.0,NM
1606176,CHEMBL259084,P10721,KD,>,10000.0,NM
1606177,CHEMBL259084,P10721,KD,>,10000.0,NM
1606178,CHEMBL259084,P10721,KD,>,10000.0,NM
1606179,CHEMBL259084,P10721,KD,>,10000.0,NM
1606180,CHEMBL259084,P10721,KD,>,10000.0,NM
1606181,CHEMBL259084,P10721,KD,>,10000.0,NM
1606182,CHEMBL259084,P10721,KD,>,10000.0,NM
1606184,CHEMBL259084,P0C264,KD,>,10000.0,NM
1606185,CHEMBL259084,P0C1S8,KD,>,10000.0,NM
1606186,CHEMBL259084,P09769,KD,=,220.0,NM
1606188,CHEMBL259084,P09769,KD,=,220.0,NM
1606189,CHEMBL259084,P09619,KD,>,10000.0,NM
1606192,CHEMBL259084,P09619,KD,>,10000.0,NM
1606194,CHEMBL259084,P08922,KD,=,3100.0,NM
1606197,CHEMBL259084,P08922,KD,=,3100.0,NM
1606199,CHEMBL259084,P08631,KD,=,1500.0,NM
1606202,CHEMBL259084,P08631,KD,=,1500.0,NM
1606206,CHEMBL259084,P08581,KD,>,10000.0,NM
1606207,CHEMBL259084,P08581,KD,>,10000.0,NM
1606208,CHEMBL259084,P08581,KD,>,10000.0,NM
1606209,CHEMBL259084,P08581,KD,>,10000.0,NM
1606211,CHEMBL259084,P08069,KD,>,10000.0,NM
1606214,CHEMBL259084,P08069,KD,>,10000.0,NM
1606218,CHEMBL259084,P07949,KD,>,10000.0,NM
1606219,CHEMBL259084,P07949,KD,>,10000.0,NM
1606220,CHEMBL259084,P07949,KD,>,10000.0,NM
1606221,CHEMBL259084,P07949,KD,>,10000.0,NM
1606222,CHEMBL259084,P07949,KD,>,10000.0,NM
1606223,CHEMBL259084,P07949,KD,>,10000.0,NM
1606225,CHEMBL259084,P07948,KD,=,1400.0,NM
1606228,CHEMBL259084,P07948,KD,=,1400.0,NM
1606230,CHEMBL259084,P07947,KD,=,260.0,NM
1606233,CHEMBL259084,P07947,KD,=,260.0,NM
1606234,CHEMBL259084,P07333,KD,>,10000.0,NM
1606237,CHEMBL259084,P07333,KD,>,10000.0,NM
1606239,CHEMBL259084,P07332,KD,>,10000.0,NM
1606241,CHEMBL259084,P07332,KD,>,10000.0,NM
1606247,CHEMBL259084,P06241,KD,=,1300.0,NM
1606250,CHEMBL259084,P06241,KD,=,1300.0,NM
1606252,CHEMBL259084,P06239,KD,=,590.0,NM
1606256,CHEMBL259084,P06239,KD,=,590.0,NM
1606258,CHEMBL259084,P06213,KD,>,10000.0,NM
1606262,CHEMBL259084,P06213,KD,>,10000.0,NM
1606269,CHEMBL259084,P04629,KD,>,10000.0,NM
1606273,CHEMBL259084,P04629,KD,>,10000.0,NM
1606275,CHEMBL259084,P04626,KD,>,10000.0,NM
1606277,CHEMBL259084,P04626,KD,>,10000.0,NM
1606279,CHEMBL259084,P04049,KD,>,10000.0,NM
1606281,CHEMBL259084,P04049,KD,>,10000.0,NM
1606282,CHEMBL259084,P00533,KD,=,6400.0,NM
1606283,CHEMBL259084,P00533,KD,=,3200.0,NM
1606286,CHEMBL259084,P00533,KD,=,3200.0,NM
1606287,CHEMBL259084,P00533,KD,=,6400.0,NM
1606288,CHEMBL259084,P00533,KD,>,10000.0,NM
1606289,CHEMBL259084,P00533,KD,>,10000.0,NM
1606290,CHEMBL259084,P00533,KD,>,10000.0,NM
1606291,CHEMBL259084,P00533,KD,>,10000.0,NM
1606292,CHEMBL259084,P00533,KD,>,10000.0,NM
1606293,CHEMBL259084,P00533,KD,>,10000.0,NM
1606294,CHEMBL259084,P00533,KD,>,10000.0,NM
1606295,CHEMBL259084,P00533,KD,>,10000.0,NM
1606296,CHEMBL259084,P00533,KD,>,10000.0,NM
1606297,CHEMBL259084,P00533,KD,>,10000.0,NM
1606298,CHEMBL259084,P00533,KD,>,10000.0,NM
1606299,CHEMBL259084,P00533,KD,>,10000.0,NM
1606300,CHEMBL259084,P00533,KD,>,10000.0,NM
1606301,CHEMBL259084,P00533,KD,>,10000.0,NM
1606302,CHEMBL259084,P00533,KD,>,10000.0,NM
1606303,CHEMBL259084,P00533,KD,>,10000.0,NM
1606304,CHEMBL259084,P00533,KD,>,10000.0,NM
1606305,CHEMBL259084,P00533,KD,>,10000.0,NM
1606309,CHEMBL259084,P00519,KD,=,1900.0,NM
1606310,CHEMBL259084,P00519,KD,=,510.0,NM
1606311,CHEMBL259084,P00519,KD,=,940.0,NM
1606312,CHEMBL259084,P00519,KD,=,750.0,NM
1606313,CHEMBL259084,P00519,KD,=,630.0,NM
1606314,CHEMBL259084,P00519,KD,=,1300.0,NM
1606315,CHEMBL259084,P00519,KD,=,1600.0,NM
1606316,CHEMBL259084,P00519,KD,=,2800.0,NM
1606317,CHEMBL259084,P00519,KD,=,1000.0,NM
1606318,CHEMBL259084,P00519,KD,=,890.0,NM
1606319,CHEMBL259084,P00519,KD,=,1100.0,NM
1606322,CHEMBL259084,P00519,KD,=,450.0,NM
1606323,CHEMBL259084,P00519,KD,=,610.0,NM
1606324,CHEMBL259084,P00519,KD,=,630.0,NM
1606325,CHEMBL259084,P00519,KD,=,640.0,NM
1606326,CHEMBL259084,P00519,KD,=,820.0,NM
1606327,CHEMBL259084,P00519,KD,=,820.0,NM
1606328,CHEMBL259084,P00519,KD,=,3600.0,NM
1606329,CHEMBL259084,P00519,KD,>,10000.0,NM
1606330,CHEMBL259084,P00519,KD,>,10000.0,NM
1606331,CHEMBL259084,P00519,KD,>,10000.0,NM
1606332,CHEMBL259084,P00519,KD,>,10000.0,NM
1606334,CHEMBL259084,O96017,KD,>,10000.0,NM
1606339,CHEMBL259084,O96013,KD,>,10000.0,NM
1606342,CHEMBL259084,O96013,KD,>,10000.0,NM
1606344,CHEMBL259084,O95835,KD,>,10000.0,NM
1606345,CHEMBL259084,O95835,KD,>,10000.0,NM
1606346,CHEMBL259084,O95819,KD,>,10000.0,NM
1606348,CHEMBL259084,O95819,KD,>,10000.0,NM
1606350,CHEMBL259084,O95747,KD,>,10000.0,NM
1606351,CHEMBL259084,O95382,KD,>,10000.0,NM
1606352,CHEMBL259084,O94921,KD,>,10000.0,NM
1606353,CHEMBL259084,O94921,KD,>,10000.0,NM
1606354,CHEMBL259084,O94806,KD,>,10000.0,NM
1606356,CHEMBL259084,O94806,KD,>,10000.0,NM
1606358,CHEMBL259084,O94804,KD,=,3700.0,NM
1606360,CHEMBL259084,O94804,KD,=,3700.0,NM
1606361,CHEMBL259084,O94768,KD,=,8.1,NM
1606362,CHEMBL259084,O94768,KD,=,8.1,NM
1606363,CHEMBL259084,O76039,KD,>,10000.0,NM
1606364,CHEMBL259084,O75914,KD,>,10000.0,NM
1606366,CHEMBL259084,O75914,KD,>,10000.0,NM
1606367,CHEMBL259084,O75747,KD,>,10000.0,NM
1606368,CHEMBL259084,O75716,KD,>,10000.0,NM
1606369,CHEMBL259084,O75716,KD,>,10000.0,NM
1606371,CHEMBL259084,O75676,KD,>,10000.0,NM
1606372,CHEMBL259084,O75676,KD,>,10000.0,NM
1606373,CHEMBL259084,O75676,KD,>,10000.0,NM
1606374,CHEMBL259084,O75676,KD,>,10000.0,NM
1606376,CHEMBL259084,O75582,KD,>,10000.0,NM
1606377,CHEMBL259084,O75582,KD,>,10000.0,NM
1606378,CHEMBL259084,O75582,KD,>,10000.0,NM
1606379,CHEMBL259084,O75582,KD,>,10000.0,NM
1606380,CHEMBL259084,O75460,KD,>,10000.0,NM
1606381,CHEMBL259084,O75385,KD,>,10000.0,NM
1606382,CHEMBL259084,O75116,KD,>,10000.0,NM
1606389,CHEMBL259084,O60674,KD,>,10000.0,NM
1606392,CHEMBL259084,O60674,KD,>,10000.0,NM
1606394,CHEMBL259084,O60331,KD,>,10000.0,NM
1606395,CHEMBL259084,O60285,KD,>,10000.0,NM
1606397,CHEMBL259084,O60285,KD,>,10000.0,NM
1606398,CHEMBL259084,O43353,KD,>,10000.0,NM
1606400,CHEMBL259084,O43353,KD,>,10000.0,NM
1606401,CHEMBL259084,O43318,KD,>,10000.0,NM
1606403,CHEMBL259084,O43293,KD,>,10000.0,NM
1606406,CHEMBL259084,O43293,KD,>,10000.0,NM
1606407,CHEMBL259084,O43293,KD,>,10000.0,NM
1606409,CHEMBL259084,O43283,KD,>,10000.0,NM
1606410,CHEMBL259084,O15530,KD,>,10000.0,NM
1606412,CHEMBL259084,O15530,KD,>,10000.0,NM
1606414,CHEMBL259084,O15264,KD,>,10000.0,NM
1606418,CHEMBL259084,O15197,KD,>,10000.0,NM
1606419,CHEMBL259084,O15146,KD,>,10000.0,NM
1606421,CHEMBL259084,O15146,KD,>,10000.0,NM
1606422,CHEMBL259084,O15111,KD,>,10000.0,NM
1606426,CHEMBL259084,O15075,KD,>,10000.0,NM
1606427,CHEMBL259084,O15075,KD,>,10000.0,NM
1606428,CHEMBL259084,O14976,KD,>,10000.0,NM
1606429,CHEMBL259084,O14976,KD,>,10000.0,NM
1606435,CHEMBL259084,O14965,KD,=,6.5,NM
1606444,CHEMBL259084,O14965,KD,=,6.5,NM
1606458,CHEMBL259084,O14936,KD,>,10000.0,NM
1606459,CHEMBL259084,O14920,KD,>,10000.0,NM
1606461,CHEMBL259084,O14757,KD,>,10000.0,NM
1606465,CHEMBL259084,O14757,KD,>,10000.0,NM
1606467,CHEMBL259084,O14733,KD,>,10000.0,NM
1606469,CHEMBL259084,O14730,KD,>,10000.0,NM
1606470,CHEMBL259084,O14730,KD,>,10000.0,NM
1606471,CHEMBL259084,O14578,KD,>,10000.0,NM
1606472,CHEMBL259084,O14578,KD,>,10000.0,NM
1606473,CHEMBL259084,O00750,KD,>,10000.0,NM
1606474,CHEMBL259084,O00506,KD,>,10000.0,NM
1606475,CHEMBL259084,O00506,KD,>,10000.0,NM
1606476,CHEMBL259084,O00444,KD,=,410.0,NM
1606477,CHEMBL259084,O00444,KD,=,410.0,NM
1606480,CHEMBL259084,O00329,KD,>,10000.0,NM
1606482,CHEMBL259084,O00238,KD,>,10000.0,NM
1606912,CHEMBL438762,P30969,KD,=,0.32,NM
1608401,CHEMBL84163,P15328,KD,=,0.0032,NM
1608404,CHEMBL85436,P15328,KD,=,0.0005,NM
1608771,CHEMBL3334980,Q9UEE5,KD,=,13.0,NM
1608775,CHEMBL3334980,O94768,KD,=,27.0,NM
1609147,CHEMBL45907,P47747,KD,=,44668.36,NM
1609674,CHEMBL413658,P49146,KD,>,1000.0,NM
1609675,CHEMBL413658,P25929,KD,>,1000.0,NM
1609716,CHEMBL3663653,P09874,KD,=,22.0,NM
1609862,CHEMBL1404913,"Q16236, Q14145",KD,=,68200.0,NM
1610384,CHEMBL3218192,P01112,KD,=,5500.0,NM
1610753,CHEMBL200267,Q9JI35,KD,=,5.01,NM
1610755,CHEMBL200267,Q9JI35,KD,=,5.01,NM
1610829,CHEMBL153431,P00918,KD,=,220.0,NM
1611568,CHEMBL373668,P32300,KD,=,0.008709999999999999,NM
1612757,CHEMBL2403028,P49146,KD,=,2.0,NM
1612759,CHEMBL160120,P21554,KD,=,16.7,NM
1612832,CHEMBL1836190,P20916,KD,=,15.0,NM
1613266,CHEMBL255863,Q9Y6R4,KD,>,10000.0,NM
1613267,CHEMBL255863,Q9Y6M4,KD,>,10000.0,NM
1613268,CHEMBL255863,Q9Y6E0,KD,>,10000.0,NM
1613270,CHEMBL255863,Q9Y616,KD,>,10000.0,NM
1613271,CHEMBL255863,Q9Y5S2,KD,=,910.0,NM
1613274,CHEMBL255863,Q9Y4K4,KD,>,10000.0,NM
1613276,CHEMBL255863,Q9Y463,KD,>,10000.0,NM
1613279,CHEMBL255863,Q9Y2U5,KD,>,10000.0,NM
1613281,CHEMBL255863,Q9Y2K2,KD,>,10000.0,NM
1613282,CHEMBL255863,Q9Y2H9,KD,>,10000.0,NM
1613283,CHEMBL255863,Q9Y2H1,KD,>,10000.0,NM
1613285,CHEMBL255863,Q9Y243,KD,>,10000.0,NM
1613287,CHEMBL255863,Q9UQM7,KD,>,10000.0,NM
1613289,CHEMBL255863,Q9UQB9,KD,>,10000.0,NM
1613290,CHEMBL255863,Q9UQ88,KD,>,10000.0,NM
1613291,CHEMBL255863,Q9UPZ9,KD,>,10000.0,NM
1613292,CHEMBL255863,Q9UPE1,KD,>,10000.0,NM
1613295,CHEMBL255863,Q9UM73,KD,>,10000.0,NM
1613298,CHEMBL255863,Q9UL54,KD,>,10000.0,NM
1613300,CHEMBL255863,Q9UKI8,KD,>,10000.0,NM
1613301,CHEMBL255863,Q9UKE5,KD,>,10000.0,NM
1613303,CHEMBL255863,Q9UK32,KD,>,10000.0,NM
1613304,CHEMBL255863,Q9UK32,KD,>,10000.0,NM
1613306,CHEMBL255863,Q9UIK4,KD,>,10000.0,NM
1613308,CHEMBL255863,Q9UHD2,KD,>,10000.0,NM
1613310,CHEMBL255863,Q9UF33,KD,=,640.0,NM
1613312,CHEMBL255863,Q9UEW8,KD,>,10000.0,NM
1613314,CHEMBL255863,Q9UEE5,KD,>,10000.0,NM
1613317,CHEMBL255863,Q9UBF8,KD,>,10000.0,NM
1613318,CHEMBL255863,Q9UBE8,KD,>,10000.0,NM
1613320,CHEMBL255863,Q9P2K8,KD,>,10000.0,NM
1613321,CHEMBL255863,Q9P289,KD,>,10000.0,NM
1613323,CHEMBL255863,Q9P286,KD,>,10000.0,NM
1613325,CHEMBL255863,Q9P1W9,KD,>,10000.0,NM
1613327,CHEMBL255863,Q9P0L2,KD,>,10000.0,NM
1613329,CHEMBL255863,Q9NYY3,KD,>,10000.0,NM
1613331,CHEMBL255863,Q9NYL2,KD,=,11.0,NM
1613334,CHEMBL255863,Q9NY57,KD,>,10000.0,NM
1613335,CHEMBL255863,Q9NWZ3,KD,>,10000.0,NM
1613337,CHEMBL255863,Q9NSY1,KD,>,10000.0,NM
1613338,CHEMBL255863,Q9NRP7,KD,>,10000.0,NM
1613339,CHEMBL255863,Q9NRM7,KD,>,10000.0,NM
1613340,CHEMBL255863,Q9NRH2,KD,>,10000.0,NM
1613342,CHEMBL255863,Q9NQU5,KD,>,10000.0,NM
1613344,CHEMBL255863,Q9HCP0,KD,>,10000.0,NM
1613345,CHEMBL255863,Q9HC98,KD,>,10000.0,NM
1613348,CHEMBL255863,Q9HBH9,KD,>,10000.0,NM
1613350,CHEMBL255863,Q9HAZ1,KD,=,7100.0,NM
1613352,CHEMBL255863,Q9H4B4,KD,>,10000.0,NM
1613354,CHEMBL255863,Q9H422,KD,>,10000.0,NM
1613356,CHEMBL255863,Q9H3Y6,KD,>,10000.0,NM
1613358,CHEMBL255863,Q9H2X6,KD,>,10000.0,NM
1613360,CHEMBL255863,Q9H2K8,KD,=,1700.0,NM
1613362,CHEMBL255863,Q9H2G2,KD,>,10000.0,NM
1613364,CHEMBL255863,Q9H1R3,KD,>,10000.0,NM
1613366,CHEMBL255863,Q9H0K1,KD,>,10000.0,NM
1613368,CHEMBL255863,Q9H093,KD,>,10000.0,NM
1613371,CHEMBL255863,Q9C098,KD,>,10000.0,NM
1613372,CHEMBL255863,Q9BZL6,KD,>,10000.0,NM
1613374,CHEMBL255863,Q9BYT3,KD,>,10000.0,NM
1613377,CHEMBL255863,Q9BXA7,KD,>,10000.0,NM
1613379,CHEMBL255863,Q9BX84,KD,>,10000.0,NM
1613380,CHEMBL255863,Q9BWU1,KD,>,10000.0,NM
1613381,CHEMBL255863,Q9BVS4,KD,>,10000.0,NM
1613383,CHEMBL255863,Q9BUB5,KD,>,10000.0,NM
1613384,CHEMBL255863,Q9BRS2,KD,>,10000.0,NM
1613385,CHEMBL255863,Q9BQI3,KD,>,10000.0,NM
1613388,CHEMBL255863,Q99759,KD,>,10000.0,NM
1613390,CHEMBL255863,Q99755,KD,>,10000.0,NM
1613391,CHEMBL255863,Q99683,KD,>,10000.0,NM
1613393,CHEMBL255863,Q99640,KD,>,10000.0,NM
1613394,CHEMBL255863,Q96SB4,KD,>,10000.0,NM
1613396,CHEMBL255863,Q96RR4,KD,>,10000.0,NM
1613399,CHEMBL255863,Q96Q40,KD,>,10000.0,NM
1613400,CHEMBL255863,Q96PY6,KD,>,10000.0,NM
1613403,CHEMBL255863,Q96NX5,KD,>,10000.0,NM
1613405,CHEMBL255863,Q96L34,KD,>,10000.0,NM
1613408,CHEMBL255863,Q96GD4,KD,>,10000.0,NM
1613409,CHEMBL255863,Q96D53,KD,>,10000.0,NM
1613410,CHEMBL255863,Q96BR1,KD,>,10000.0,NM
1613412,CHEMBL255863,Q92918,KD,=,890.0,NM
1613413,CHEMBL255863,Q92772,KD,>,10000.0,NM
1613414,CHEMBL255863,Q92630,KD,>,10000.0,NM
1613417,CHEMBL255863,Q8WXR4,KD,>,10000.0,NM
1613418,CHEMBL255863,Q8WU08,KD,>,10000.0,NM
1613419,CHEMBL255863,Q8WTQ7,KD,>,10000.0,NM
1613421,CHEMBL255863,Q8TDX7,KD,>,10000.0,NM
1613423,CHEMBL255863,Q8TDR2,KD,>,10000.0,NM
1613424,CHEMBL255863,Q8TDC3,KD,>,10000.0,NM
1613426,CHEMBL255863,Q8TD19,KD,>,10000.0,NM
1613428,CHEMBL255863,Q8TD08,KD,>,10000.0,NM
1613429,CHEMBL255863,Q8TBX8,KD,=,8800.0,NM
1613430,CHEMBL255863,Q8NI60,KD,>,10000.0,NM
1613431,CHEMBL255863,Q8NG66,KD,>,10000.0,NM
1613433,CHEMBL255863,Q8NFD2,KD,>,10000.0,NM
1613434,CHEMBL255863,Q8NEV4,KD,>,10000.0,NM
1613435,CHEMBL255863,Q8NE63,KD,>,10000.0,NM
1613437,CHEMBL255863,Q8N752,KD,>,10000.0,NM
1613438,CHEMBL255863,Q8N5S9,KD,>,10000.0,NM
1613440,CHEMBL255863,Q8N568,KD,>,10000.0,NM
1613442,CHEMBL255863,Q8N4C8,KD,>,10000.0,NM
1613444,CHEMBL255863,Q8IYT8,KD,>,10000.0,NM
1613446,CHEMBL255863,Q8IY84,KD,>,10000.0,NM
1613447,CHEMBL255863,Q8IWQ3,KD,>,10000.0,NM
1613449,CHEMBL255863,Q8IW41,KD,>,10000.0,NM
1613451,CHEMBL255863,Q8IVW4,KD,>,10000.0,NM
1613452,CHEMBL255863,Q8IVH8,KD,>,10000.0,NM
1613453,CHEMBL255863,Q8IU85,KD,>,10000.0,NM
1613455,CHEMBL255863,Q86Z02,KD,>,10000.0,NM
1613457,CHEMBL255863,Q86YV6,KD,>,10000.0,NM
1613458,CHEMBL255863,Q86Y07,KD,>,10000.0,NM
1613459,CHEMBL255863,Q86V86,KD,>,10000.0,NM
1613461,CHEMBL255863,Q86UX6,KD,>,10000.0,NM
1613462,CHEMBL255863,Q86UE8,KD,>,10000.0,NM
1613464,CHEMBL255863,Q7L7X3,KD,=,4700.0,NM
